Date,Name,Year,Letterboxd URI
2021-12-09,Midsommar,2019,https://boxd.it/jhxe
2021-12-10,What Have I Done to Deserve This?,1984,https://boxd.it/20t6
2021-12-17,Encanto,2021,https://boxd.it/kPRu
2021-12-17,Grave of the Fireflies,1988,https://boxd.it/1RUM
2021-12-17,Memoirs of a Geisha,2005,https://boxd.it/27TA
2021-12-22,Libertad,2021,https://boxd.it/omnI
2021-12-22,Booksmart,2019,https://boxd.it/igNS
2021-12-22,My Life Without Me,2003,https://boxd.it/710
2021-12-22,When the Wind Blows,1986,https://boxd.it/1VdC
2021-12-26,Juno,2007,https://boxd.it/210a
2021-12-26,Mean Girls,2004,https://boxd.it/1VNg
2021-12-26,Inception,2010,https://boxd.it/1skk
2021-12-26,Amélie,2001,https://boxd.it/2aUc
2021-12-26,Knives Out,2019,https://boxd.it/jWEA
2021-12-26,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2021-12-26,Legally Blonde,2001,https://boxd.it/1ZNa
2021-12-26,La La Land,2016,https://boxd.it/a5fa
2021-12-26,Carmen & Lola,2018,https://boxd.it/iOYq
2021-12-26,The Wizard of Oz,1939,https://boxd.it/29Xu
2021-12-26,Sunset Boulevard,1950,https://boxd.it/2a20
2021-12-26,Annie Hall,1977,https://boxd.it/29M2
2021-12-26,Charade,1963,https://boxd.it/23O2
2021-12-26,Shrek,2001,https://boxd.it/29zi
2021-12-26,Finding Nemo,2003,https://boxd.it/72i
2021-12-26,Black Swan,2010,https://boxd.it/Sw0
2021-12-26,Black Mirror: San Junipero,2016,https://boxd.it/k4aS
2021-12-27,Lilya 4-ever,2002,https://boxd.it/1SyW
2021-12-30,Primer,2004,https://boxd.it/6YA
2021-12-30,Lady Bird,2017,https://boxd.it/dGNE
2021-12-30,Girlfriends,2021,https://boxd.it/tQaE
2022-01-03,Lolita,1962,https://boxd.it/29Ag
2022-01-03,Carol,2015,https://boxd.it/7DPK
2022-01-03,Eighth Grade,2018,https://boxd.it/hDMG
2022-01-03,Being John Malkovich,1999,https://boxd.it/2ahu
2022-01-03,Moonlight,2016,https://boxd.it/d6bE
2022-01-03,Thelma & Louise,1991,https://boxd.it/28Ew
2022-01-03,From Up on Poppy Hill,2011,https://boxd.it/2VCa
2022-01-03,School of Rock,2003,https://boxd.it/28xK
2022-01-03,Clueless,1995,https://boxd.it/1Ygk
2022-01-03,Your Name.,2016,https://boxd.it/cUqs
2022-01-03,Tangled,2010,https://boxd.it/15gO
2022-01-03,Easy A,2010,https://boxd.it/17DK
2022-01-03,Napoleon Dynamite,2004,https://boxd.it/20wu
2022-01-04,Elephant,2003,https://boxd.it/287i
2022-01-09,But I'm a Cheerleader,1999,https://boxd.it/1CW4
2022-01-09,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8
2022-01-09,Amadeus,1984,https://boxd.it/2aH8
2022-01-09,Funny Girl,1968,https://boxd.it/1KR2
2022-01-09,Fight Club,1999,https://boxd.it/2a9q
2022-01-09,Zoolander,2001,https://boxd.it/1YMA
2022-01-10,Tangerine,2015,https://boxd.it/9QRe
2022-01-12,Banana Fish,2018,https://boxd.it/qL4q
2022-01-12,Evangelion: 3.0 You Can (Not) Redo,2012,https://boxd.it/2BwG
2022-01-12,Puella Magi Madoka Magica,2011,https://boxd.it/px3c
2022-01-12,Promare,2019,https://boxd.it/keFQ
2022-01-14,Certified Copy,2010,https://boxd.it/IMW
2022-01-14,The Bookshop,2017,https://boxd.it/fOua
2022-01-15,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2022-01-15,Bo Burnham: Inside,2021,https://boxd.it/v2uy
2022-01-16,Evangelion: 3.0+1.0 Thrice Upon a Time,2021,https://boxd.it/8LnQ
2022-01-16,Modern Times,1936,https://boxd.it/25MC
2022-01-16,Her,2013,https://boxd.it/4O24
2022-01-16,Martyrs,2008,https://boxd.it/1Yqu
2022-01-17,Starlet,2012,https://boxd.it/3dvG
2022-01-19,Over the Garden Wall,2014,https://boxd.it/eqFw
2022-01-19,The Way He Looks,2014,https://boxd.it/70yA
2022-01-19,Your Name Engraved Herein,2020,https://boxd.it/qWwA
2022-01-19,As Good as It Gets,1997,https://boxd.it/268y
2022-01-19,Lilo & Stitch,2002,https://boxd.it/1TAY
2022-01-20,West Side Story,2021,https://boxd.it/iwt0
2022-01-20,Weathering with You,2019,https://boxd.it/kPxE
2022-01-20,The Garden of Words,2013,https://boxd.it/5Ymq
2022-01-23,Eyes Wide Shut,1999,https://boxd.it/2axs
2022-01-23,The Florida Project,2017,https://boxd.it/dMG0
2022-01-23,Drive,2011,https://boxd.it/IG
2022-01-23,The Hunchback of Notre Dame,1996,https://boxd.it/1VZQ
2022-01-23,Hercules,1997,https://boxd.it/1SDW
2022-01-23,Monsters University,2013,https://boxd.it/bQm
2022-01-23,Shrek 2,2004,https://boxd.it/29z8
2022-01-23,Moana,2016,https://boxd.it/8tfY
2022-01-23,Madagascar,2005,https://boxd.it/29dc
2022-01-23,The Simpsons Movie,2007,https://boxd.it/6YU
2022-01-23,The Princess and the Frog,2009,https://boxd.it/1WQq
2022-01-23,A Silent Voice: The Movie,2016,https://boxd.it/d99c
2022-01-23,Alice in Wonderland,1951,https://boxd.it/1Sz6
2022-01-23,Peter Pan,1953,https://boxd.it/1VCC
2022-01-23,Minions,2015,https://boxd.it/6jCO
2022-01-23,Chicken Little,2005,https://boxd.it/1Xnu
2022-01-23,Cinderella,1950,https://boxd.it/1Uki
2022-01-23,Chico & Rita,2010,https://boxd.it/6O6
2022-01-23,One Hundred and One Dalmatians,1961,https://boxd.it/1SeC
2022-01-23,When Marnie Was There,2014,https://boxd.it/78pm
2022-01-23,In a Heartbeat,2017,https://boxd.it/ggzW
2022-01-23,Summer Wars,2009,https://boxd.it/1oDC
2022-01-23,Wish Dragon,2021,https://boxd.it/k6w2
2022-01-23,Serial Experiments Lain,1998,https://boxd.it/hYQE
2022-01-23,Paperman,2012,https://boxd.it/4uYW
2022-01-24,Squid Game,2021,https://boxd.it/x1OG
2022-01-24,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ
2022-01-24,Rosa's Wedding,2020,https://boxd.it/pmcs
2022-01-25,A Streetcar Named Desire,1951,https://boxd.it/29Mc
2022-01-25,Room,2015,https://boxd.it/7T0y
2022-01-25,In the Mood for Love,2000,https://boxd.it/29tE
2022-01-27,Night on the Galactic Railroad,1985,https://boxd.it/1800
2022-01-30,Grand Hotel,1932,https://boxd.it/1f2C
2022-02-01,The Impossible,2012,https://boxd.it/2N9k
2022-02-01,Ring,1998,https://boxd.it/26tw
2022-02-01,Princesses,2005,https://boxd.it/2932
2022-02-04,Gone Girl,2014,https://boxd.it/6hQu
2022-02-04,The Prince of Egypt,1998,https://boxd.it/1XGQ
2022-02-04,The Boy in the Striped Pyjamas,2008,https://boxd.it/1NOK
2022-02-04,Casablanca,1942,https://boxd.it/2aG0
2022-02-05,Singin' in the Rain,1952,https://boxd.it/29oY
2022-02-06,Scarface,1983,https://boxd.it/2b7g
2022-02-08,Sweeney Todd: The Demon Barber of Fleet Street,2007,https://boxd.it/1PcS
2022-02-08,El Bola,2000,https://boxd.it/1flY
2022-02-10,That Was Life,2020,https://boxd.it/shTM
2022-02-12,Journey to a Mother's Room,2018,https://boxd.it/jrls
2022-02-13,Mondays in the Sun,2002,https://boxd.it/tWs
2022-02-14,The House of the Spirits,1993,https://boxd.it/274i
2022-02-14,Arrival,2016,https://boxd.it/aNGk
2022-02-14,Big Eyes,2014,https://boxd.it/36ms
2022-02-14,Puella Magi Madoka Magica the Movie Part III: Rebellion,2013,https://boxd.it/6kx6
2022-02-14,Happy-Go-Lucky,2008,https://boxd.it/1W68
2022-02-20,Barry Lyndon,1975,https://boxd.it/25A2
2022-03-02,Arlo the Alligator Boy,2021,https://boxd.it/sGj0
2022-03-02,Melancholia,2011,https://boxd.it/bPI
2022-03-02,The Parent Trap,1998,https://boxd.it/1XJq
2022-03-05,Pride & Prejudice,2005,https://boxd.it/24u8
2022-03-07,Labyrinth,1986,https://boxd.it/1POC
2022-03-07,Beetlejuice,1988,https://boxd.it/24QI
2022-03-09,An Elephant Sitting Still,2018,https://boxd.it/i1EQ
2022-03-10,Palm Springs,2020,https://boxd.it/lCXQ
2022-03-11,Belladonna of Sadness,1973,https://boxd.it/2q
2022-03-12,Asako I & II,2018,https://boxd.it/hyNk
2022-03-12,Turning Red,2022,https://boxd.it/ipkq
2022-03-14,Mommy,2014,https://boxd.it/7Uau
2022-03-15,Shiva Baby,2020,https://boxd.it/oIv0
2022-03-15,It's Such a Beautiful Day,2012,https://boxd.it/hCY2
2022-03-18,Happiness,1998,https://boxd.it/1VEe
2022-03-19,Blue Is the Warmest Color,2013,https://boxd.it/4O40
2022-03-19,Life of Brian,1979,https://boxd.it/2a4q
2022-03-19,Carnage,2011,https://boxd.it/2peU
2022-03-20,The Book Thief,2013,https://boxd.it/67wO
2022-03-21,Nobody Knows,2004,https://boxd.it/26E0
2022-03-27,Django Unchained,2012,https://boxd.it/2cCk
2022-03-27,Charli XCX: Alone Together,2021,https://boxd.it/tW2w
2022-03-29,Misery,1990,https://boxd.it/28gY
2022-03-29,My Fair Lady,1964,https://boxd.it/1UBI
2022-03-30,The Worst Person in the World,2021,https://boxd.it/oyws
2022-03-30,Words Bubble Up Like Soda Pop,2020,https://boxd.it/ljhG
2022-03-30,Kill Bill: Vol. 2,2004,https://boxd.it/2au4
2022-03-30,Bridget Jones's Diary,2001,https://boxd.it/29WQ
2022-04-01,Meet Me in St. Louis,1944,https://boxd.it/29j0
2022-04-01,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA
2022-04-01,Fallen Angels,1995,https://boxd.it/1UkW
2022-04-08,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2022-04-08,Monster House,2006,https://boxd.it/1Z2e
2022-04-09,Carmina or Blow Up,2012,https://boxd.it/3E2m
2022-04-09,Pan's Labyrinth,2006,https://boxd.it/28No
2022-04-14,The Cabin in the Woods,2011,https://boxd.it/1zOc
2022-04-16,Spencer,2021,https://boxd.it/qPMG
2022-04-18,Jamon Jamon,1992,https://boxd.it/24dQ
2022-04-24,Carmina and Amen,2014,https://boxd.it/772Q
2022-04-27,The Sea Inside,2004,https://boxd.it/27S8
2022-04-29,mother!,2017,https://boxd.it/dgRU
2022-04-30,What Makes Women Laugh?,1997,https://boxd.it/3ovC
2022-04-30,The Olive Tree,2016,https://boxd.it/cH9y
2022-04-30,Get Out,2017,https://boxd.it/eOCm
2022-05-03,Saw,2004,https://boxd.it/2aWW
2022-05-03,"The Adventures of Priscilla, Queen of the Desert",1994,https://boxd.it/26mg
2022-05-05,We Need to Talk About Kevin,2011,https://boxd.it/2pTS
2022-05-06,The Justice of Bunny King,2021,https://boxd.it/srXk
2022-05-07,Dancer in the Dark,2000,https://boxd.it/71E
2022-05-07,Delicatessen,1991,https://boxd.it/29lK
2022-05-08,Kika,1993,https://boxd.it/20sM
2022-05-08,Nymphomaniac: Vol. I,2013,https://boxd.it/7DiG
2022-05-08,Yesterday Never Ends,2013,https://boxd.it/55Yu
2022-05-09,Nymphomaniac: Vol. II,2013,https://boxd.it/7j9Y
2022-05-13,All That Jazz,1979,https://boxd.it/1JB8
2022-05-16,Thelma,2017,https://boxd.it/e7Ce
2022-05-21,The Sound of Music,1965,https://boxd.it/1MLK
2022-05-22,The Piano Teacher,2001,https://boxd.it/2886
2022-05-22,Gora Automatikoa,2021,https://boxd.it/xTcG
2022-05-22,Violeta Doesn't Take the Elevator,2019,https://boxd.it/o7vC
2022-05-27,Skins,2017,https://boxd.it/fsVI
2022-05-27,My Name Is Juani,2006,https://boxd.it/2zO4
2022-05-28,Fargo,1996,https://boxd.it/2aHM
2022-05-30,The Servant,1963,https://boxd.it/VAa
2022-05-30,Ready or Not,2019,https://boxd.it/kOf0
2022-05-30,Greener Grass,2019,https://boxd.it/jYoY
