Date,Name,Year,Letterboxd URI,Rating
2022-05-05,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,3.5
2022-05-06,The Justice of Bunny King,2021,https://boxd.it/srXk,4.5
2022-05-07,Dancer in the Dark,2000,https://boxd.it/71E,5
2022-05-07,Delicatessen,1991,https://boxd.it/29lK,2.5
2022-05-08,Kika,1993,https://boxd.it/20sM,2
2022-05-09,Nymphomaniac: Vol. II,2013,https://boxd.it/7j9Y,3.5
2022-05-10,mother!,2017,https://boxd.it/dgRU,2.5
2022-05-13,All That Jazz,1979,https://boxd.it/1JB8,4
2022-05-13,Yesterday Never Ends,2013,https://boxd.it/55Yu,3.5
2022-05-16,Thelma,2017,https://boxd.it/e7Ce,3.5
2022-05-18,Broken Embraces,2009,https://boxd.it/20yU,4
2022-05-21,The Sound of Music,1965,https://boxd.it/1MLK,4
2022-05-22,The Piano Teacher,2001,https://boxd.it/2886,3.5
2022-05-22,Gora Automatikoa,2021,https://boxd.it/xTcG,3.5
2022-05-22,Violeta Doesn't Take the Elevator,2019,https://boxd.it/o7vC,2
2022-05-27,Skins,2017,https://boxd.it/fsVI,3
2022-05-27,My Name Is Juani,2006,https://boxd.it/2zO4,4.5
2022-05-28,Fargo,1996,https://boxd.it/2aHM,3.5
2022-05-30,The Servant,1963,https://boxd.it/VAa,4.5
2022-05-30,Ready or Not,2019,https://boxd.it/kOf0,2
2022-05-31,Swallow,2019,https://boxd.it/lA0i,4
2022-06-02,Lullaby,2022,https://boxd.it/vvUA,4.5
2022-06-04,Promising Young Woman,2020,https://boxd.it/loRE,4
2022-06-05,Weekend,2011,https://boxd.it/2Kzu,5
2022-06-07,Something Is Happening,2018,https://boxd.it/iNCe,4
2022-06-08,Girlhood,2014,https://boxd.it/7WyI,3.5
2022-06-09,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,5
2022-06-11,Alien,1979,https://boxd.it/2awY,4
2022-06-11,Oh! Mammy Blue,2018,https://boxd.it/iKoI,2
2022-06-12,Babyteeth,2019,https://boxd.it/iWDU,4
2022-06-13,End of the Century,2019,https://boxd.it/lAZU,3.5
2022-06-15,Cléo from 5 to 7,1962,https://boxd.it/2agm,4.5
2022-06-16,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,3.5
2022-06-18,The Straight Story,1999,https://boxd.it/2ass,4.5
2022-06-19,Three Times,2020,https://boxd.it/qVyq,4
2022-06-19,The Godfather,1972,https://boxd.it/2aNK,4
2022-06-20,Standard Deviation,2022,https://boxd.it/AMM4,4.5
2022-06-20,Ana by Day,2018,https://boxd.it/fwng,3.5
2022-06-21,The Number 23,2007,https://boxd.it/258C,2
2022-06-21,Taxi Driver,1976,https://boxd.it/2b8y,3.5
2022-06-22,Us,2019,https://boxd.it/gnV6,3.5
2022-06-23,Crash,1996,https://boxd.it/29n2,3.5
2022-06-24,Videodrome,1983,https://boxd.it/29uC,4
2022-06-29,Through My Window,2022,https://boxd.it/uQGW,0.5
2022-06-30,Matthias & Maxime,2019,https://boxd.it/iOQ2,4.5
2022-07-01,Birdboy: The Forgotten Children,2015,https://boxd.it/cj8w,4.5
2022-07-01,Cut!,2021,https://boxd.it/v60W,3.5
2022-07-01,The Fly,1986,https://boxd.it/1YIe,3
2022-07-02,The Lobster,2015,https://boxd.it/7tnw,3.5
2022-07-02,The Invisible Man,2020,https://boxd.it/kWlA,3
2022-07-05,Cinderella,2021,https://boxd.it/lSCY,0.5
2022-07-08,Notes on a Scandal,2006,https://boxd.it/28Zu,4
2022-07-09,Sauvage,2018,https://boxd.it/iNp0,4
2022-07-09,Melancholia,2011,https://boxd.it/bPI,4.5
2022-07-10,Gentlemen Prefer Blondes,1953,https://boxd.it/29Hc,4.5
2022-07-10,The National Shotgun,1978,https://boxd.it/3S4G,3
2022-07-12,Carrie,1976,https://boxd.it/20ZQ,4
2022-07-13,Farrucas,2021,https://boxd.it/vtr2,4
2022-07-16,"Girl, Interrupted",1999,https://boxd.it/25ds,3.5
2022-07-17,Alice in Wonderland,1951,https://boxd.it/1Sz6,4.5
2022-07-20,Happy Together,1997,https://boxd.it/1Ha0,4
2022-07-24,"Synecdoche, New York",2008,https://boxd.it/23zw,4
2022-07-25,The Island Inside,2009,https://boxd.it/3kI8,3.5
2022-07-26,Ghost in the Shell,1995,https://boxd.it/1YYc,4.5
2022-07-27,The Brown Bunny,2003,https://boxd.it/1RnI,3
2022-07-29,Heartbeast,2022,https://boxd.it/rfSA,3
2022-07-29,American Psycho,2000,https://boxd.it/28Vs,4.5
2022-07-31,The Hill Where Lionesses Roar,2021,https://boxd.it/uVt4,4
2022-08-02,Sleeping Beauty,1959,https://boxd.it/1V9A,4
2022-08-03,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,3.5
2022-08-05,Heathers,1989,https://boxd.it/26x4,2.5
2022-08-07,Blue My Mind,2017,https://boxd.it/ghj6,2
2022-08-08,Irreversible,2002,https://boxd.it/29as,3.5
2022-08-11,Softie,2021,https://boxd.it/oCIs,3.5
2022-08-12,Mighty Flash,2021,https://boxd.it/tgk4,4
2022-08-22,Gilda,1946,https://boxd.it/251G,4
2022-08-25,Jezebel,1938,https://boxd.it/27IM,3.5
2022-09-01,The Boxtrolls,2014,https://boxd.it/5grw,4
2022-09-04,Antichrist,2009,https://boxd.it/1Inu,4
2022-09-05,The Innocence,2019,https://boxd.it/n52Q,3.5
2022-09-08,Rear Window,1954,https://boxd.it/2a6Q,3.5
2022-09-08,The Blair Witch Project,1999,https://boxd.it/26ua,4
2022-09-09,Pink Flamingos,1972,https://boxd.it/29NO,4.5
2022-09-10,The Lady from Shanghai,1947,https://boxd.it/251Q,4
2022-09-11,Lola,1981,https://boxd.it/273u,3.5
2022-09-12,The House,2022,https://boxd.it/yVza,4.5
2022-09-13,Aloma & Mila,2020,https://boxd.it/umsq,2
2022-09-14,Professor Layton and the Eternal Diva,2009,https://boxd.it/10gu,5
2022-09-14,The Birds,1963,https://boxd.it/2a6m,4.5
2022-09-17,Dragonflies,2022,https://boxd.it/zBDI,5
2022-09-21,Dogville,2003,https://boxd.it/2a8W,5
2022-09-24,Law of Desire,1987,https://boxd.it/24Pg,4.5
2022-09-24,The Human Voice,2020,https://boxd.it/p148,3.5
2022-09-29,The Phantom of the Sauna,2021,https://boxd.it/xxrO,3
2022-10-01,Weathering with You,2019,https://boxd.it/kPxE,0.5
2022-10-01,Victoria,2015,https://boxd.it/amSe,4.5
2022-10-04,Happy Hour,2015,https://boxd.it/bXge,5
2022-10-04,Cabaret,1972,https://boxd.it/1Vpe,4
2022-10-09,West Side Story,1961,https://boxd.it/28dK,4.5
2022-10-09,All Too Well: The Short Film,2021,https://boxd.it/xTmc,2.5
2022-10-09,Where Is the Friend's House?,1987,https://boxd.it/ELg,4.5
2022-10-09,Counting Sheep,2022,https://boxd.it/xu14,2
2022-10-11,X,2022,https://boxd.it/sxVa,3.5
2022-10-11,Belle Époque,1992,https://boxd.it/26FM,5
2022-10-14,Crimes of the Future,2022,https://boxd.it/uTuY,2.5
2022-10-18,María (and Everybody Else),2016,https://boxd.it/eEHc,5
2022-10-23,Wild Flowers,2022,https://boxd.it/sOTg,2.5
2022-10-23,The Wizard of Oz,1939,https://boxd.it/29Xu,5
2022-10-24,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,3.5
2022-10-26,Audition,1999,https://boxd.it/1UHm,4.5
2022-10-27,A Star Is Born,1954,https://boxd.it/25I6,4.5
2022-10-30,Chicago,2002,https://boxd.it/28zm,4
2022-10-30,[REC],2007,https://boxd.it/20ma,3.5
